Target: http://cozyhosting.htb/
Total requests: 4989
==================================================================
ID    Response   Lines      Word         Chars          Request    
==================================================================
00306:  C=301      7 L	      12 W	    178 Ch	  "zeus"
00305:  C=301      7 L	      12 W	    178 Ch	  "streaming"
00304:  C=301      7 L	      12 W	    178 Ch	  "wp"
00302:  C=301      7 L	      12 W	    178 Ch	  "devel"
00301:  C=301      7 L	      12 W	    178 Ch	  "fw"
00299:  C=301      7 L	      12 W	    178 Ch	  "business"
00303:  C=301      7 L	      12 W	    178 Ch	  "local"
00300:  C=301      7 L	      12 W	    178 Ch	  "update"
00296:  C=301      7 L	      12 W	    178 Ch	  "list"
00298:  C=301      7 L	      12 W	    178 Ch	  "club"
00295:  C=301      7 L	      12 W	    178 Ch	  "ml"
00294:  C=301      7 L	      12 W	    178 Ch	  "partners"
00293:  C=301      7 L	      12 W	    178 Ch	  "ns8"
00291:  C=301      7 L	      12 W	    178 Ch	  "auth"
00292:  C=301      7 L	      12 W	    178 Ch	  "jira"
00288:  C=301      7 L	      12 W	    178 Ch	  "alumni"
00290:  C=301      7 L	      12 W	    178 Ch	  "www.admin"
00287:  C=301      7 L	      12 W	    178 Ch	  "tickets"
00284:  C=301      7 L	      12 W	    178 Ch	  "mirror"
00286:  C=301      7 L	      12 W	    178 Ch	  "sso"
00308:  C=301      7 L	      12 W	    178 Ch	  "adm"
00310:  C=301      7 L	      12 W	    178 Ch	  "gate"
00314:  C=301      7 L	      12 W	    178 Ch	  "status"
00322:  C=301      7 L	      12 W	    178 Ch	  "post"
00332:  C=301      7 L	      12 W	    178 Ch	  "db2"
00331:  C=301      7 L	      12 W	    178 Ch	  "img1"
00330:  C=301      7 L	      12 W	    178 Ch	  "e"
00329:  C=301      7 L	      12 W	    178 Ch	  "english"
00326:  C=301      7 L	      12 W	    178 Ch	  "wordpress"
00328:  C=301      7 L	      12 W	    178 Ch	  "main"
00327:  C=301      7 L	      12 W	    178 Ch	  "images4"
00325:  C=301      7 L	      12 W	    178 Ch	  "xml"
00323:  C=301      7 L	      12 W	    178 Ch	  "events"
00324:  C=301      7 L	      12 W	    178 Ch	  "project"
00321:  C=301      7 L	      12 W	    178 Ch	  "sales"
00320:  C=301      7 L	      12 W	    178 Ch	  "oa"
00319:  C=301      7 L	      12 W	    178 Ch	  "trac"
00318:  C=301      7 L	      12 W	    178 Ch	  "webdisk.forum"
00317:  C=301      7 L	      12 W	    178 Ch	  "zimbra"
00316:  C=301      7 L	      12 W	    178 Ch	  "maps"
00313:  C=301      7 L	      12 W	    178 Ch	  "seo"
00315:  C=301      7 L	      12 W	    178 Ch	  "share"
00311:  C=301      7 L	      12 W	    178 Ch	  "pay"
00312:  C=301      7 L	      12 W	    178 Ch	  "file"
00309:  C=301      7 L	      12 W	    178 Ch	  "img2"
00333:  C=301      7 L	      12 W	    178 Ch	  "time"
00335:  C=301      7 L	      12 W	    178 Ch	  "go"
00339:  C=301      7 L	      12 W	    178 Ch	  "social"
00357:  C=301      7 L	      12 W	    178 Ch	  "uk"
00347:  C=301      7 L	      12 W	    178 Ch	  "hermes"
00356:  C=301      7 L	      12 W	    178 Ch	  "sport"
00355:  C=301      7 L	      12 W	    178 Ch	  "tracker"
00354:  C=301      7 L	      12 W	    178 Ch	  "ns10"
00352:  C=301      7 L	      12 W	    178 Ch	  "temp"
00351:  C=301      7 L	      12 W	    178 Ch	  "mail5"
00353:  C=301      7 L	      12 W	    178 Ch	  "map"
00350:  C=301      7 L	      12 W	    178 Ch	  "mx01"
00349:  C=301      7 L	      12 W	    178 Ch	  "bb"
00346:  C=301      7 L	      12 W	    178 Ch	  "monitoring"
00348:  C=301      7 L	      12 W	    178 Ch	  "photos"
00345:  C=301      7 L	      12 W	    178 Ch	  "www.wiki"
00344:  C=301      7 L	      12 W	    178 Ch	  "ru"
00343:  C=301      7 L	      12 W	    178 Ch	  "www.forums"
00341:  C=301      7 L	      12 W	    178 Ch	  "development"
00342:  C=301      7 L	      12 W	    178 Ch	  "calendar"
00338:  C=301      7 L	      12 W	    178 Ch	  "www6"
00340:  C=301      7 L	      12 W	    178 Ch	  "www.old"
00337:  C=301      7 L	      12 W	    178 Ch	  "direct"
00334:  C=301      7 L	      12 W	    178 Ch	  "redirect"
00336:  C=301      7 L	      12 W	    178 Ch	  "bugs"
00360:  C=301      7 L	      12 W	    178 Ch	  "conference"
00358:  C=301      7 L	      12 W	    178 Ch	  "hr"
00382:  C=301      7 L	      12 W	    178 Ch	  "site"
00364:  C=301      7 L	      12 W	    178 Ch	  "vpn1"
00372:  C=301      7 L	      12 W	    178 Ch	  "firewall"
00381:  C=301      7 L	      12 W	    178 Ch	  "origin"
00380:  C=301      7 L	      12 W	    178 Ch	  "event"
00378:  C=301      7 L	      12 W	    178 Ch	  "gis"
